type	tid
napoli	5.77
napoli	5.19
napoli	5.52
napoli	5.13
napoli	5.48
napoli	5.73
napoli	5.32
napoli	5.16
napoli	5.08
napoli	5.24
napoli	5.14
napoli	4.76
napoli	4.89
napoli	4.84
napoli	5
napoli	5.06
smirna	4.99
smirna	4.7
smirna	4.83
smirna	5.22
smirna	4.95
smirna	4.66
smirna	4.61
smirna	5.32
smirna	4.79
smirna	4.81
smirna	4.56
smirna	5.52
smirna	4.6
smirna	4.86
smirna	4.81
smirna	5.56
symphony	4.52
symphony	4.12
symphony	4.26
symphony	4.41
symphony	4.58
symphony	4.13
symphony	4.18
symphony	4.33
symphony	4.21
symphony	4.83
symphony	4.47
symphony	4.93
symphony	4.21
symphony	4.44
symphony	4.62
symphony	4.73
