treat day co2
raj 2 1.52196155561863
raj 2 1.44773461466332
raj 4 2.7731947639643
raj 4 3.56085256235552
raj 6 5.15516951223468
raj 6 4.30595952834521
raj 7 6.17185844988355
raj 7 7.17067648834661
raj 9 9.7766804095289
raj 9 8.33113748768769
raj 12 17.2877818405676
raj 12 18.5412874597469
kontrol 2 0.418951549247639
kontrol 2 0.316636769379053
kontrol 4 0.625002268282701
kontrol 4 0.726149037073691
kontrol 6 1.04081077419239
kontrol 6 0.932393819905948
kontrol 7 1.37712776433596
kontrol 7 1.49182469764127
kontrol 9 2.07508060767412
kontrol 9 2.38691085352428
kontrol 12 3.42122953628967
kontrol 12 2.69123447234926
