tid_paa_dag	puls	tid
formiddag	143	445
formiddag	156	431
formiddag	156	428
formiddag	165	383
formiddag	163	401
formiddag	154	429
formiddag	168	425
formiddag	175	381
formiddag	177	379
formiddag	183	354
eftermiddag	160	416
eftermiddag	168	390
eftermiddag	168	388
eftermiddag	168	389
eftermiddag	179	331
eftermiddag	166	414
formiddag	148	437
formiddag	152	433
formiddag	154	427
formiddag	159	399
formiddag	167	381
formiddag	149	433
formiddag	155	428
formiddag	164	384
formiddag	170	369
formiddag	172	369
formiddag	173	363
formiddag	169	393
formiddag	151	428
formiddag	158	415
formiddag	160	402
formiddag	169	378
formiddag	173	360
eftermiddag	161	405
eftermiddag	165	410
eftermiddag	175	346
eftermiddag	179	344
eftermiddag	168	398
formiddag	149	440
formiddag	152	422
formiddag	155	401
formiddag	162	382
formiddag	169	347
formiddag	157	422
formiddag	163	399
formiddag	167	394
formiddag	173	358
formiddag	175	363
formiddag	153	404
formiddag	168	382
formiddag	172	371
formiddag	177	350
formiddag	170	365
eftermiddag	154	425
eftermiddag	157	425
eftermiddag	157	425
eftermiddag	161	417
eftermiddag	164	417
eftermiddag	168	402
eftermiddag	168	407
eftermiddag	178	342
eftermiddag	161	433
eftermiddag	164	430
eftermiddag	168	423
eftermiddag	169	419
eftermiddag	170	416
eftermiddag	170	416
eftermiddag	170	411
eftermiddag	174	398
eftermiddag	175	396
eftermiddag	180	363
eftermiddag	161	403
eftermiddag	170	402
eftermiddag	177	367
eftermiddag	178	367
eftermiddag	179	363
formiddag	161	439
formiddag	165	429
formiddag	166	424
formiddag	170	408
formiddag	175	386
