age	volume	duration
54.71421955	39.95	165
32.29897488	139.5	91
57.37010342	100.053	248
41.75581976	31.85	292
76.4286741	36.8	143
38.19654065	54.4	151
65.50180131	80.7	161
41.17253149	30.4	108
79.26776959	71.85	107
53.16467826	156	272
77.01184829	99	142
79.48691623	107	115
81.03919542	54.995	140
70.61050763	26.0085	184
73.49922768	11.25	87
67.14443144	16.44	82
70.02470961	21.85	205
65.03898095	9.35	114
67.48929364	19.95	93
50.74151648	16.85	164
58.22147842	198.085	140
69.29095053	34.4915	117
66.17521236	38.7	132
73.68266745	95.6	157
59.24819355	121	234
71.34449487	33.45	83
68.71040017	55.2	185
55.62868049	61.95	181
61.02520928	58.5	165
57.75888622	35.1	113
59.23176611	96.75	122
57.53426377	48.5415	143
63.31398546	2.8	66
55.6341563	116	136
61.25234148	29.9	108
75.09531339	92.7	147
54.8511149	6.75	115
42.24852895	16.4	103
45.18904107	53.4	117
76.95161434	46.65	107
53.11801976	31.05	97
43.28083397	21.95	112
39.5352631	18.7	193
45.13975874	7.2	152
26.82601285	109.4285	173
35.75695143	128.5	170
44.56479827	25.4	100
46.0213648	57.3	125
52.41996756	48.55	235
43.81734966	30.9	172
47.24258541	104.5	157
69.06918007	45.75	119
32.11564919	40.9	230
68.23697041	40.15	129
64.31891141	74.5	127
81.6579624	52.75	120
76.05631875	20.3	122
43.58736547	5.665	142
66.93635051	142.3605	285
67.11705237	159	188
43.40403978	10.85	112
38.26772624	1.635	95
75.54695396	48.2	208
59.74101681	49.7	97
79.36085843	367.5	198
46.88118168	104.025	248
64.51045082	42.65	148
65.20063154	116.3035	112
68.68849691	17.6	163
71.66745381	90.75	157
51.63418824	27.45	142
